,0,1,2,3,4
0,,KNoList=119049/119050/133362/125760/133366/119052/119053/133363/125763/133367/125756/125757/125758/125759/119051/133364/125761/125762/133368/119054/133365/125764/125765/133369 ,HinList=2120/2121/2122/2123/2124/2125/2140/2141/2142/2260 ,MkrList=2280/2280/2280/2280/2280/2280/2280/2280/2280/2280,
1,ParamList=//MF22S///0/500 ,KurumaInfo=119049/8/ΩΩﬁ∑/30/MR‹∫ﬁ› 660 DOHC/15276/0001/DBA-MF22S/0601/0905/K6A/660,,,
2,,KNoList=114241/114242 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
3,,KNoList=142162/144931 ,HinList=6801/6802/6803/6804/6841/6841/6842/6842/6843/6844/6844 ,MkrList=3860/3860/3860/3860/3860/3870/3860/3870/3860/3860/3870,
4,,KNoList=142162/144931 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
5,ParamList=17053/0403////0/500 ,KurumaInfo=142162/1/ƒ÷¿/155/±∏± 1500 DOHC/17053/0397-0444/DAA-NHP10/1412/1706/1NZFXE/1500,,,
6,,KNoList=114241/114242 ,HinList=6801/6802/6803/6804/6841/6842/6843/6844 ,MkrList=3080/3080/3080/3080/3080/3080/3080/3080,
7,ParamList=12140/0006////0/500 ,KurumaInfo=114241/1/ƒ÷¿/111/ª∏º∞ƒﬁ 1500 ‹∫ﬁ› DOHC/12140/0005 0006/CBA-NCP58G/0402/1006/1NZFE/1500,,,
8,ParamList='16524KA191'/-1///0,,,,
9,ParamList='6524KA192'/-1///0,,,,
10,ParamList='16524KA191'/-1///0,,,,
11,ParamList=6480/0270////0/500 ,KurumaInfo=70927/7/Ω ﬁŸ/9/ª› ﬁ∞ 660 ƒ◊Ø∏/6480/0270/V-KS3/9510/9609/EN07C/660,,,
12,KNo=115398 ,HinList=1800/1801/1802/1803/1804/1805/1806/1807/1840/1900/1880/1920/1840/1880/1900/1920/1960/2000/2001/2002/2003/2004/2005/2006/2007 ,MkrList=4260/4260/4260/4260/4260/4260/4260/4260/4260/4260/4260/4260/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040/1040 ,parSyadaiNo=0,
13,KNo=115398 ,HinList=1660/1680/1700/1720/1721/1722/1723/1725 ,MkrList=2300/2300/2300/2300/2300/2300/2300/2300 ,parSyadaiNo=0,
14,ParamList=12246/0008////0/500 ,KurumaInfo=115398/5/Œ›¿ﬁ/57/ ﬁ”Ω 660/12246/0008 0020/ABA-HM1/0403/1008/E07Z/660,,,
15,,KNoList=114241/114242 ,HinList=6340/6360/6560/6600/6640 ,MkrList=1620/1620/1620/1620/1620,
16,,KNoList=114241/114242 ,HinList=8220/8221/8222/8223/8460/8461/8462/8463/8130/8160 ,MkrList=1620/1620/1620/1620/1620/1620/1620/1620/2100/2100,
17,,KNoList=114241/114242 ,HinList=3440/3441/3442/3480/3481/3482 ,MkrList=1620/1620/1620/1620/1620/1620,
