月日,時刻,子ユーザ,入力値,parKurumaNo,ParamList,parHinban,parJunsei,parHMCount,KurumaInfo,parType,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:02:16,221002,122905R0004,,"['', '']",['12290-5R0-004 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:02:16
2021-11-09,15:02:32,221002,122905R0004,,"['', '']",['12290-5R0-004 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:02:32
2021-11-09,15:07:49,221002,122905R0004,,"['', '']",['12290-5R0-004 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:07:49
2021-11-09,15:11:40,221002,SD29T,,"['', '', 'SD29T', ' ']","['', '']",,,"['24455', '4', 'ﾏﾂﾀﾞ', '8', 'ﾌﾞﾛｰﾆｨ2200DSL', '4956', '0001 0003', 'N-SD29T', '8401', '8607', 'R2', '2200']",,,"['', '']","['', '']",,,2021-11-09 15:11:40
2021-11-09,15:11:57,221002,R20618300E,,"['', '']",['R206-18-300E '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:11:57
2021-11-09,15:44:06,221002,15197-0017,,"['15197', '0017', '', ' ']","['', '']",,,"['122591', '5', 'ﾎﾝﾀﾞ', '47', 'ﾗｲﾌ 660', '15197', '0017', 'DBA-JB5', '0610', '0811', 'P07A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:44:06
2021-11-09,15:44:33,221002,,122591 ,"['', '']","['', '']",,2 ,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:44:33
2021-11-09,15:02:17,219008,10417-0013,,"['10417', '0013', '', ' ']","['', '']",,,"['90340', '1', 'ﾄﾖﾀ', '131', 'ｸﾗｳﾝ ｴｽﾃｰﾄ 2500 DOHCﾀｰﾎﾞ', '10417', '0009-0016', 'GH-JZS171W', '9912', '0312', '1JZGTE', '2500']",,,"['', '']","['', '']",,,2021-11-09 15:02:17
2021-11-09,15:02:31,219008,,90340 ,"['', '']","['', '']",,2 ,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:02:31
2021-11-09,15:04:06,219008,ZM6,,"['', '', 'ZM6', ' ']","['', '']",,,[''],,,"['', '']","['', '']",,,2021-11-09 15:04:06
2021-11-09,16:03:55,219008,18094-0615,,"['18094', '0615', '', ' ']","['', '']",,,"['147906', '8', 'ｽｽﾞｷ', '42', 'ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC', '18094', '0615', 'DAA-MK42S', '1612', '1711', 'R06A', '660']",,,"['', '']","['', '']",,,2021-11-09 16:03:55
2021-11-09,16:04:01,219008,,147906 ,"['', '']","['', '']",,8 ,"['', '']",,,"['1800', '1801', '1803', '1804', '1805', '1806', '1807', '1802 ']","['4260', '4260', '4260', '4260', '4260', '4260', '4260', '4260 ']",0,,2021-11-09 16:04:01
2021-11-09,15:02:20,61160301,11751HA003,,"['', '']",['11751HA003 '],,,"['', '']",,,"['', '']","['', '']",,11751HA003,2021-11-09 15:02:20
2021-11-09,15:02:33,61160301,11751HA003,,"['', '']",['11751-HA003 '],,,"['', '']",,,"['', '']","['', '']",,11751HA003,2021-11-09 15:02:33
2021-11-09,15:32:40,61160301,1907097207,,"['', '']",['1907097207 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:32:40
2021-11-09,15:32:40,61160301,1907097207,,"['', '']",['1907097207 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:32:40
2021-11-09,15:45:59,61160301,TRH200,,"['', '', 'TRH200', ' ']","['', '']",,,"['116220', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2000 ﾊﾞﾝ ﾛﾝｸﾞ DOHC', '12592', '0001-0008 0049-0056', 'CBF-TRH200K', '0408', '1312', '1TRFE', '2000']",,,"['', '']","['', '']",,,2021-11-09 15:45:59
