月日,時刻,子ユーザ,入力値,コマンド,受信サイズ,受信数,返却数,ParamList,parKurumaNo,parHinban,parJunsei,parHMCount,parType,KurumaInfo,parHinmokuNos,parMakerNo,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:44:33,221002,,部品検索（HTTP）,118,7,2,"['', '']",122591 ,"['', '']",,2 ,,"['', '']","['6300', '6320 ']",,"['1040', '1040 ']",0,,2021-11-09 15:44:33
2021-11-09,16:04:01,219008,,部品検索（HTTP）,178,7,2,"['', '']",147906 ,"['', '']",,8 ,,"['', '']","['1800', '1801', '1803', '1804', '1805', '1806', '1807', '1802 ']",,"['4260', '4260', '4260', '4260', '4260', '4260', '4260', '4260 ']",0,,2021-11-09 16:04:01
2021-11-09,15:46:03,61160301,TRH200,車輌検索（HTTP）,56,4,137,"['', '', 'TRH200', ' ']",,"['', '']",,,,"['116220', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2000 ﾊﾞﾝ ﾛﾝｸﾞ DOHC', '12592', '0001-0008 0049-0056', 'CBF-TRH200K', '0408', '1312', '1TRFE', '2000']","['', '']",,"['', '']",,,2021-11-09 15:46:03
2021-11-09,15:54:11,61950901,4853197292,互換検索（HTTP）,62,4,0,"['', '']",,['48531-97292 '],,,,"['', '']","['', '']",,"['', '']",,4853197292,2021-11-09 15:54:11
2021-11-09,15:27:47,61385001,5340176G02,価格検索（HTTP）,74,5,1,"['', '']",,['5340176G02 '],0 ,,,"['', '']","['', '']",0,"['', '']",,,2021-11-09 15:27:47
2021-11-09,15:03:01,61371904,,部品検索（HTTP）,519,7,0,"['', '']",116055 ,"['', '']",,42 ,,"['', '']","['3360', '3360', '3360', '3361', '3361', '3361', '3362', '3362', '3362', '3363', '3363', '3363', '3364', '3364', '3364', '3365', '3365', '3365', '3366', '3366', '3366', '3380', '3380', '3380', '3381', '3381', '3381', '3382', '3382', '3382', '3383', '3383', '3383', '3384', '3384', '3384', '3385', '3385', '3385', '3386', '3386', '3386 ']",,"['2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340 ']",0,,2021-11-09 15:03:01
2021-11-09,15:06:31,610AK301,T10,互換検索（HTTP）,54,4,500,"['', '']",,['T10 '],,,,"['', '']","['', '']",,"['', '']",,T10,2021-11-09 15:06:31
2021-11-09,15:15:14,193015,RN101,価格検索（HTTP）,69,5,2,"['', '']",,['RN101 '],0 ,,,"['', '']","['', '']",0,"['', '']",,,2021-11-09 15:15:14
2021-11-09,15:36:18,61989002,4806826170,価格検索（HTTP）,75,5,1,"['', '']",,['48068-26170 '],0 ,,,"['', '']","['', '']",0,"['', '']",,,2021-11-09 15:36:18
2021-11-09,15:12:07,613R1701,MD325440,互換検索（HTTP）,59,4,3,"['', '']",,['MD325440 '],,,,"['', '']","['', '']",,"['', '']",,MD325440,2021-11-09 15:12:07
