月日,時刻,子ユーザ,入力値,コマンド,受信サイズ,受信数,返却数,parKurumaNo,parHinban,ParamList,parHMCount,parType,KurumaInfo,parJunsei,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:02:12,221002,,部品検索（HTTP）,329,7,6,143096 ,"['', '']","['', '']",23 ,,"['', '']",,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']","['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
2021-11-09,15:02:13,221002,,部品検索（HTTP）,329,7,6,145336 ,"['', '']","['', '']",23 ,,"['', '']",,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']","['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
2021-11-09,15:02:14,221002,,部品検索（HTTP）,329,7,6,147465 ,"['', '']","['', '']",23 ,,"['', '']",,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']","['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:14
2021-11-09,15:02:15,221002,,部品検索（HTTP）,329,7,6,150488 ,"['', '']","['', '']",23 ,,"['', '']",,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']","['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:15
2021-11-09,15:02:16,221002,122905R0004,価格検索（HTTP）,77,5,1,,['12290-5R0-004 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:16
2021-11-09,15:02:16,221002,122905R0004,価格検索（HTTP）,77,5,1,,['12290-5R0-004 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:16
2021-11-09,15:02:32,221002,122905R0004,価格検索（HTTP）,77,5,1,,['12290-5R0-004 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:32
2021-11-09,15:02:32,221002,122905R0004,価格検索（HTTP）,77,5,1,,['12290-5R0-004 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:32
2021-11-09,15:07:49,221002,122905R0004,価格検索（HTTP）,77,5,1,,['12290-5R0-004 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:07:49
2021-11-09,15:07:49,221002,122905R0004,価格検索（HTTP）,77,5,1,,['12290-5R0-004 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:07:49
2021-11-09,15:11:40,221002,SD29T,車輌検索（HTTP）,55,4,44,,"['', '']","['', '', 'SD29T', ' ']",,,"['24455', '4', 'ﾏﾂﾀﾞ', '8', 'ﾌﾞﾛｰﾆｨ2200DSL', '4956', '0001 0003', 'N-SD29T', '8401', '8607', 'R2', '2200']",,,"['', '']","['', '']",,,2021-11-09 15:11:40
2021-11-09,15:11:40,221002,SD29T,車輌検索（HTTP）,55,4,44,,"['', '']","['', '', 'SD29T', ' ']",,,"['24455', '4', 'ﾏﾂﾀﾞ', '8', 'ﾌﾞﾛｰﾆｨ2200DSL', '4956', '0001 0003', 'N-SD29T', '8401', '8607', 'R2', '2200']",,,"['', '']","['', '']",,,2021-11-09 15:11:40
2021-11-09,15:11:54,221002,,部品検索（HTTP）,117,7,4,24457 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:11:54
2021-11-09,15:11:55,221002,,部品検索（HTTP）,117,7,2,24464 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:11:55
2021-11-09,15:11:56,221002,,部品検索（HTTP）,117,7,3,41763 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:11:56
2021-11-09,15:11:57,221002,R20618300E,価格検索（HTTP）,76,5,1,,['R206-18-300E '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:11:57
2021-11-09,15:11:57,221002,R20618300E,価格検索（HTTP）,76,5,1,,['R206-18-300E '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:11:57
2021-11-09,15:44:06,221002,15197-0017,車輌検索（HTTP）,68,5,1,,"['', '']","['15197', '0017', '', ' ']",,,"['122591', '5', 'ﾎﾝﾀﾞ', '47', 'ﾗｲﾌ 660', '15197', '0017', 'DBA-JB5', '0610', '0811', 'P07A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:44:06
2021-11-09,15:44:06,221002,15197-0017,車輌検索（HTTP）,68,5,1,,"['', '']","['15197', '0017', '', ' ']",,,"['122591', '5', 'ﾎﾝﾀﾞ', '47', 'ﾗｲﾌ 660', '15197', '0017', 'DBA-JB5', '0610', '0811', 'P07A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:44:06
2021-11-09,15:44:33,221002,,部品検索（HTTP）,118,7,2,122591 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:44:33
2021-11-09,15:44:33,221002,,部品検索（HTTP）,118,7,2,122591 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:44:33
2021-11-09,15:02:17,219008,10417-0013,車輌検索（HTTP）,68,5,1,,"['', '']","['10417', '0013', '', ' ']",,,"['90340', '1', 'ﾄﾖﾀ', '131', 'ｸﾗｳﾝ ｴｽﾃｰﾄ 2500 DOHCﾀｰﾎﾞ', '10417', '0009-0016', 'GH-JZS171W', '9912', '0312', '1JZGTE', '2500']",,,"['', '']","['', '']",,,2021-11-09 15:02:17
2021-11-09,15:02:31,219008,,部品検索（HTTP）,117,7,1,90340 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:02:31
2021-11-09,15:02:31,219008,,部品検索（HTTP）,117,7,1,90340 ,"['', '']","['', '']",2 ,,"['', '']",,,"['6300', '6320 ']","['1040', '1040 ']",0,,2021-11-09 15:02:31
2021-11-09,15:04:06,219008,ZM6,車輌検索（HTTP）,53,4,0,,"['', '']","['', '', 'ZM6', ' ']",,,[''],,,"['', '']","['', '']",,,2021-11-09 15:04:06
2021-11-09,15:04:06,219008,ZM6,車輌検索（HTTP）,53,4,0,,"['', '']","['', '', 'ZM6', ' ']",,,[''],,,"['', '']","['', '']",,,2021-11-09 15:04:06
2021-11-09,16:03:55,219008,18094-0615,車輌検索（HTTP）,68,5,1,,"['', '']","['18094', '0615', '', ' ']",,,"['147906', '8', 'ｽｽﾞｷ', '42', 'ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC', '18094', '0615', 'DAA-MK42S', '1612', '1711', 'R06A', '660']",,,"['', '']","['', '']",,,2021-11-09 16:03:55
2021-11-09,16:03:55,219008,18094-0615,車輌検索（HTTP）,68,5,1,,"['', '']","['18094', '0615', '', ' ']",,,"['147906', '8', 'ｽｽﾞｷ', '42', 'ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC', '18094', '0615', 'DAA-MK42S', '1612', '1711', 'R06A', '660']",,,"['', '']","['', '']",,,2021-11-09 16:03:55
2021-11-09,16:04:01,219008,,部品検索（HTTP）,178,7,2,147906 ,"['', '']","['', '']",8 ,,"['', '']",,,"['1800', '1801', '1803', '1804', '1805', '1806', '1807', '1802 ']","['4260', '4260', '4260', '4260', '4260', '4260', '4260', '4260 ']",0,,2021-11-09 16:04:01
2021-11-09,16:04:01,219008,,部品検索（HTTP）,178,7,2,147906 ,"['', '']","['', '']",8 ,,"['', '']",,,"['1800', '1801', '1803', '1804', '1805', '1806', '1807', '1802 ']","['4260', '4260', '4260', '4260', '4260', '4260', '4260', '4260 ']",0,,2021-11-09 16:04:01
2021-11-09,15:02:20,61160301,11751HA003,互換検索（HTTP）,61,4,0,,['11751HA003 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,11751HA003,2021-11-09 15:02:20
2021-11-09,15:02:32,61160301,11751HA003,互換検索（HTTP）,62,4,0,,['11751-HA003 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,11751HA003,2021-11-09 15:02:32
2021-11-09,15:02:33,61160301,11751HA003,互換検索（HTTP）,62,4,0,,['11751-HA003 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,11751HA003,2021-11-09 15:02:33
2021-11-09,15:02:33,61160301,11751HA003,互換検索（HTTP）,62,4,0,,['11751-HA003 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,11751HA003,2021-11-09 15:02:33
2021-11-09,15:32:40,61160301,1907097207,価格検索（HTTP）,74,5,1,,['1907097207 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:32:40
2021-11-09,15:32:40,61160301,1907097207,価格検索（HTTP）,74,5,1,,['1907097207 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:32:40
2021-11-09,15:45:59,61160301,TRH200,車輌検索（HTTP）,56,4,137,,"['', '']","['', '', 'TRH200', ' ']",,,"['116220', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2000 ﾊﾞﾝ ﾛﾝｸﾞ DOHC', '12592', '0001-0008 0049-0056', 'CBF-TRH200K', '0408', '1312', '1TRFE', '2000']",,,"['', '']","['', '']",,,2021-11-09 15:45:59
2021-11-09,15:45:59,61160301,TRH200,車輌検索（HTTP）,56,4,137,,"['', '']","['', '', 'TRH200', ' ']",,,"['116220', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2000 ﾊﾞﾝ ﾛﾝｸﾞ DOHC', '12592', '0001-0008 0049-0056', 'CBF-TRH200K', '0408', '1312', '1TRFE', '2000']",,,"['', '']","['', '']",,,2021-11-09 15:45:59
2021-11-09,15:46:03,61160301,TRH200,車輌検索（HTTP）,56,4,137,,"['', '']","['', '', 'TRH200', ' ']",,,"['116220', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2000 ﾊﾞﾝ ﾛﾝｸﾞ DOHC', '12592', '0001-0008 0049-0056', 'CBF-TRH200K', '0408', '1312', '1TRFE', '2000']",,,"['', '']","['', '']",,,2021-11-09 15:46:03
2021-11-09,15:46:03,61160301,TRH200,車輌検索（HTTP）,56,4,137,,"['', '']","['', '', 'TRH200', ' ']",,,"['116220', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2000 ﾊﾞﾝ ﾛﾝｸﾞ DOHC', '12592', '0001-0008 0049-0056', 'CBF-TRH200K', '0408', '1312', '1TRFE', '2000']",,,"['', '']","['', '']",,,2021-11-09 15:46:03
2021-11-09,15:02:24,61950901,1518887402,互換検索（HTTP）,61,4,1,,['1518887402 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,1518887402,2021-11-09 15:02:24
2021-11-09,15:02:39,61950901,1518887401,互換検索（HTTP）,61,4,0,,['1518887401 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,1518887401,2021-11-09 15:02:39
2021-11-09,15:02:39,61950901,1518887401,互換検索（HTTP）,61,4,0,,['1518887401 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,1518887401,2021-11-09 15:02:39
2021-11-09,15:02:49,61950901,1518887403,価格検索（HTTP）,74,5,1,,['1518887403 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:49
2021-11-09,15:02:49,61950901,1518887403,価格検索（HTTP）,74,5,1,,['1518887403 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:49
2021-11-09,15:53:45,61950901,12168-0001,車輌検索（HTTP）,68,5,1,,"['', '']","['12168', '0001', '', ' ']",,,"['116916', '6', 'ﾀﾞｲﾊﾂ', '31', 'ｺﾍﾟﾝ 660 DOHC ﾀｰﾎﾞ', '12168', '0001 0006', 'ABA-L880K', '0406', '1209', 'JBDET', '660']",,,"['', '']","['', '']",,,2021-11-09 15:53:45
2021-11-09,15:53:45,61950901,12168-0001,車輌検索（HTTP）,68,5,1,,"['', '']","['12168', '0001', '', ' ']",,,"['116916', '6', 'ﾀﾞｲﾊﾂ', '31', 'ｺﾍﾟﾝ 660 DOHC ﾀｰﾎﾞ', '12168', '0001 0006', 'ABA-L880K', '0406', '1209', 'JBDET', '660']",,,"['', '']","['', '']",,,2021-11-09 15:53:45
2021-11-09,15:53:52,61950901,,部品検索（HTTP）,188,7,18,116916 ,"['', '']","['', '']",9 ,,"['', '']",,,"['3760', '3760', '3761', '3761', '3762', '3762', '5660', '8570', '8310 ']","['2240', '4400', '2240', '4400', '2240', '4400', '2840', '1040', '1040 ']",0,,2021-11-09 15:53:52
2021-11-09,15:53:53,61950901,4852097B18,価格検索（HTTP）,75,5,1,,['48520-97B18 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:53:53
2021-11-09,15:53:53,61950901,4852097B18,価格検索（HTTP）,75,5,1,,['48520-97B18 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:53:53
2021-11-09,15:54:11,61950901,4853197292,互換検索（HTTP）,62,4,0,,['48531-97292 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,4853197292,2021-11-09 15:54:11
2021-11-09,15:54:11,61950901,4853197292,互換検索（HTTP）,62,4,0,,['48531-97292 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,4853197292,2021-11-09 15:54:11
2021-11-09,15:02:44,61385001,3370550F11,価格検索（HTTP）,74,5,0,,['3370550F11 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:02:44
2021-11-09,15:03:23,61385001,06930-0010,車輌検索（HTTP）,68,5,1,,"['', '']","['06930', '0010', '', ' ']",,,"['46611', '8', 'ｽｽﾞｷ', '11', 'ｷｬﾘｰ 660 ﾊﾞﾝ', '6930', '0010', 'V-DF51V', '9109', '9311', 'F6A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:03:23
2021-11-09,15:03:23,61385001,06930-0010,車輌検索（HTTP）,68,5,1,,"['', '']","['06930', '0010', '', ' ']",,,"['46611', '8', 'ｽｽﾞｷ', '11', 'ｷｬﾘｰ 660 ﾊﾞﾝ', '6930', '0010', 'V-DF51V', '9109', '9311', 'F6A', '660']",,,"['', '']","['', '']",,,2021-11-09 15:03:23
2021-11-09,15:03:33,61385001,,部品検索（HTTP）,187,7,5,46611 ,"['', '']","['', '']",9 ,,"['', '']",,,"['2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']","['2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:03:33
2021-11-09,15:03:33,61385001,,部品検索（HTTP）,187,7,5,46611 ,"['', '']","['', '']",9 ,,"['', '']",,,"['2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']","['2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:03:33
2021-11-09,15:27:46,61385001,5340176G02,互換検索（HTTP）,61,4,3,,['5340176G02 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,5340176G02,2021-11-09 15:27:46
2021-11-09,15:27:47,61385001,5340176G02,価格検索（HTTP）,74,5,1,,['5340176G02 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:27:47
2021-11-09,15:27:47,61385001,5340176G02,価格検索（HTTP）,74,5,1,,['5340176G02 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,,2021-11-09 15:27:47
2021-11-09,15:02:45,61371904,12615-0005,車輌検索（HTTP）,68,5,1,,"['', '']","['12615', '0005', '', ' ']",,,"['116055', '2', '日産', '91', 'ﾑﾗｰﾉ 3500 DOHC', '12615', '0001 0002 0004-0006 0008', 'CBA-PZ50', '0409', '0809', 'VQ35DE', '3500']",,,"['', '']","['', '']",,,2021-11-09 15:02:45
