子ユーザ,月日,時刻,入力値,parHinban,parKurumaNo,ParamList,KurumaInfo,parHMCount,parType,parJunsei,parHinmokuNos,parMakerNo,parMakerNos,parSyadaiNo,CallHinban,date
221002,2021-11-09,15:02:11,,,147194 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:11
221002,2021-11-09,15:02:12,,,141786 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141785 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141784 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141782 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141776 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141774 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,142378 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,142377 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,138116 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,138115 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,136422 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,138113 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,140451 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141793 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
